Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,9603.029999999997,115236.36,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Messaging,Asia Pacific (Mumbai),RabbitMQ 3.13 - mq.t3.micro - single-instance - 200 GB,Amazon MQ,0,44.06,528.72,USD,"Broker type (Single-instance Broker), Number of Brokers running (1), Amazon RabbitMQ Broker Instance (mq.t3.micro), Storage per Broker (200 GB)"
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Security,Asia Pacific (Mumbai),AWS WAF required - 1 Web ACL; rule/request volume not supplied,AWS Web Application Firewall (WAF),0,5,60.00,USD,"Number of Web Access Control Lists (Web ACLs) utilized (1 per month), Number of Rules added per Web ACL (0 per month), Number of Rule Groups per Web ACL (0 per month), Number of Rules inside each Rule Group (0 per month), Number of Managed Rule Groups per Web ACL (0 per month)"
Core BOM FINAL - On-Demand - Mumbai > Production > Compute,Asia Pacific (Mumbai),k8s-master1/2/3 - 3 x m6i.large - 120 GB gp3,Amazon EC2 ,0,254.01999999999998,3048.24,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 3), Advance EC2 instance (m6i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (120 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > Production > Compute,Asia Pacific (Mumbai),"mo-share, installer, application1/2 - 4 x m6i.large - 150 GB gp3",Amazon EC2 ,0,349.64,4195.68,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m6i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (150 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > Production > Compute,Asia Pacific (Mumbai),"foundation1/2, datamo1/2 - 4 x m6i.xlarge - 150 GB gp3",Amazon EC2 ,0,644.5600000000001,7734.72,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m6i.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (150 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > Production > Compute,Asia Pacific (Mumbai),gimo1/2 - 2 x r6i.2xlarge - 150 GB gp3,Amazon EC2 ,0,786.5600000000001,9438.72,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r6i.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (150 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > Production > Database,Asia Pacific (Mumbai),foundation-rds + gimo-rds1 - MySQL 8 - Multi-AZ,Amazon RDS for MySQL,0,729.68,8756.16,USD,"Nodes (2), Instance type (db.m6g.large), Deployment option (Multi-AZ), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Storage for each RDS instance (General Purpose SSD (gp3)), Storage amount (200 GB)"
Core BOM FINAL - On-Demand - Mumbai > Production > Database,Asia Pacific (Mumbai),datamo-meta-rds - PostgreSQL 18 - Multi-AZ,Amazon RDS for PostgreSQL,0,382.35999999999996,4588.32,USD,"Nodes (1), Instance Type (db.m6g.large), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Utilization (On-Demand only) (100 %Utilized/Month), Storage volume (General Purpose SSD (gp3)), Storage amount (200 GB)"
Core BOM FINAL - On-Demand - Mumbai > Production > Database,Asia Pacific (Mumbai),datamo-data-rds - PostgreSQL 18 - Multi-AZ,Amazon RDS for PostgreSQL,0,121.71999999999991,1460.64,USD,"Nodes (1), Instance Type (db.m6g.xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Utilization (On-Demand only) (100 %Utilized/Month), Storage volume (General Purpose SSD (gp3)), Storage amount (400 GB)"
Core BOM FINAL - On-Demand - Mumbai > Production > Network,Asia Pacific (Mumbai),2 Application Load Balancers - base hours; traffic volume not supplied,Application Load Balancer,0,34.89,418.68,USD,Number of Application Load Balancers (2)
Core BOM FINAL - On-Demand - Mumbai > Production > Network,Asia Pacific (Mumbai),2 Application Load Balancers - base hours; traffic volume not supplied,Network Load Balancer,0,17.45,209.40,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (0 GB per hour)"
Core BOM FINAL - On-Demand - Mumbai > Production > Storage,Asia Pacific (Mumbai),application-bucket - 200 GB,S3 Standard,0,5,60.00,USD,S3 Standard storage (200 GB per month)
Core BOM FINAL - On-Demand - Mumbai > Production > Search,Asia Pacific (Mumbai),opensearch-busi - 3 x r7g.large.search - 200 GB gp3 per node,Amazon OpenSearch Service,0,357.21,4286.52,USD,"Nodes (3), Instance type (r7g.large.search), Instance Node Type (Memory optimized), Storage Type (EBS Only), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Nodes (0), Instance type (r5.2xlarge.search), Number of nodes (0), Number of instances (3), Storage for each Amazon OpenSearch Service instance (General Purpose SSD (gp3)), Storage amount per volume (gp3) (200 GB), Provisioning IOPS per volume (gp3) (3000), Provisioning throughput (MB/s) per volume (gp3) (125 undefined)"
Core BOM FINAL - On-Demand - Mumbai > Production > Search,Asia Pacific (Mumbai),opensearch-log - 1 x r7g.large.search - 200 GB gp3,Amazon OpenSearch Service,0,119.07,1428.84,USD,"Nodes (1), Instance type (r7g.large.search), Instance Node Type (Memory optimized), Storage Type (EBS Only), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Nodes (0), Instance type (r5.2xlarge.search), Number of nodes (0), Number of instances (1), Storage for each Amazon OpenSearch Service instance (General Purpose SSD (gp3)), Storage amount per volume (gp3) (200 GB), Provisioning IOPS per volume (gp3) (3000), Provisioning throughput (MB/s) per volume (gp3) (125 undefined)"
Core BOM FINAL - On-Demand - Mumbai > Production > Cache,Asia Pacific (Mumbai),Redis 7.1 - cache.m6g.large - primary + replica - 2 nodes,Amazon ElastiCache,0,226.3,2715.60,USD,"Nodes (2), Instance type (cache.m6g.large), Cache Engine (Redis), Cache Node Type (Standard), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand)"
Core BOM FINAL - On-Demand - Mumbai > Production > Cache,Asia Pacific (Mumbai),MemoryDB Redis - db.t4g.medium - 2 nodes,Amazon MemoryDB,0,176.66,2119.92,USD,"Instance type (db.t4g.medium), Number of nodes (2), Instance Family (General purpose), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Data Written (0 GB), Snapshot storage (0 GB)"
Core BOM FINAL - On-Demand - Mumbai > Production > Messaging,Asia Pacific (Mumbai),RabbitMQ 3.13 - mq.m5.large - 3-node cluster - 200 GB per node,Amazon MQ,0,2059.11,24709.32,USD,"Broker type (3-node cluster Broker), Number of clustered Brokers (3), Amazon RabbitMQ Broker Instance (mq.m5.large), Storage per node (200 GB), Storage per Broker (200 GB)"
Core BOM FINAL - On-Demand - Mumbai > Production > Security,Asia Pacific (Mumbai),AWS WAF required - 1 Web ACL; rule/request volume not supplied,AWS Web Application Firewall (WAF),0,5,60.00,USD,"Number of Web Access Control Lists (Web ACLs) utilized (1 per month), Number of Rules added per Web ACL (0 per month), Number of Rule Groups per Web ACL (0 per month), Number of Rules inside each Rule Group (0 per month), Number of Managed Rule Groups per Web ACL (0 per month)"
Core BOM FINAL - On-Demand - Mumbai > DevOps > Compute,Asia Pacific (Mumbai),k8s-master - 1 x m6i.large - 120 GB gp3,Amazon EC2 ,0,84.67,1016.04,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m6i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (120 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > DevOps > Compute,Asia Pacific (Mumbai),mo-share and installer - 2 x m6i.large - 150 GB gp3,Amazon EC2 ,0,174.82,2097.84,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m6i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (150 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > DevOps > Compute,Asia Pacific (Mumbai),foundation - 1 x m6i.xlarge - 150 GB gp3,Amazon EC2 ,0,161.14000000000001,1933.68,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m6i.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (150 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > DevOps > Compute,Asia Pacific (Mumbai),monitor and JCR - 2 x m6i.xlarge - 270 GB gp3,Amazon EC2 ,0,344.17,4130.04,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m6i.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (270 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
